2023-07-17 20:58:45,190 INFO    MainThread:12204 [wandb_setup.py:_flush():76] Current SDK version is 0.15.5
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_setup.py:_flush():76] Configure stats pid to 12204
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_setup.py:_flush():76] Loading settings from /Users/a./.config/wandb/settings
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_setup.py:_flush():76] Loading settings from /Users/a./fast_mri/wandb/settings
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_init.py:_log_setup():507] Logging user logs to /Users/a./fast_mri/wandb/run-20230717_205845-ahh720vz/logs/debug.log
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/a./fast_mri/wandb/run-20230717_205845-ahh720vz/logs/debug-internal.log
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_init.py:init():547] calling init triggers
2023-07-17 20:58:45,191 INFO    MainThread:12204 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'GPU_NUM': 0, 'batch_size': 1, 'num_epochs': 30, 'lr': 0.0003, 'report_interval': 100, 'net_name': PosixPath('test'), 'data_path_train': PosixPath('/root/Data/train'), 'data_path_val': PosixPath('/root/Data/val'), 'cascade': 12, 'chans': 18, 'sens_chans': 8, 'input_key': 'kspace', 'target_key': 'image_label', 'max_key': 'max', 'seed': 2023, 'num_workers': 4, 'loss_mask': False, 'model': 'varnet', 'grad_accumulation': 4, 'grad_norm': 100000000.0, 'amp': False, 'unet': 'plain', 'config': './utils/model/config/swin_36.yaml', 'scheduler': None, 'step_size': 5, 'gamma': 0.5, 'loss': 'ssim', 'edge_weight': 1, 'aug': False, 'edge': False, 'collate': False, 'resume_from': None, 'exp_dir': PosixPath('../result/test/checkpoints'), 'val_dir': PosixPath('../result/test/reconstructions_val'), 'main_dir': PosixPath('../result/test/train.py'), 'val_loss_dir': PosixPath('../result/test')}
2023-07-17 20:58:45,192 INFO    MainThread:12204 [wandb_init.py:init():596] starting backend
2023-07-17 20:58:45,192 INFO    MainThread:12204 [wandb_init.py:init():600] setting up manager
2023-07-17 20:58:45,194 INFO    MainThread:12204 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-07-17 20:58:45,197 INFO    MainThread:12204 [wandb_init.py:init():606] backend started and connected
2023-07-17 20:58:45,207 INFO    MainThread:12204 [wandb_init.py:init():705] updated telemetry
2023-07-17 20:58:45,222 INFO    MainThread:12204 [wandb_init.py:init():738] communicating run to backend with 60.0 second timeout
2023-07-17 20:58:45,865 INFO    MainThread:12204 [wandb_run.py:_on_init():2173] communicating current version
2023-07-17 20:58:45,939 INFO    MainThread:12204 [wandb_run.py:_on_init():2182] got version response 
2023-07-17 20:58:45,939 INFO    MainThread:12204 [wandb_init.py:init():789] starting run threads in backend
2023-07-17 20:58:47,047 INFO    MainThread:12204 [wandb_run.py:_console_start():2152] atexit reg
2023-07-17 20:58:47,048 INFO    MainThread:12204 [wandb_run.py:_redirect():2007] redirect: SettingsConsole.WRAP_RAW
2023-07-17 20:58:47,048 INFO    MainThread:12204 [wandb_run.py:_redirect():2072] Wrapping output streams.
2023-07-17 20:58:47,048 INFO    MainThread:12204 [wandb_run.py:_redirect():2097] Redirects installed.
2023-07-17 20:58:47,048 INFO    MainThread:12204 [wandb_init.py:init():830] run started, returning control to user process
